Tipo de Operación,Fecha,Activo,Cantidad,Monto USD,Monto COP,Precio Unitario,Costo de Cierre,Ganancia/Pérdida USD,Total
Compra,2025-10-23,ETHUSD,0.00128778,5,,3882.65,0.05,0,5.05
Depósito,2025-11-22,USD,,100,,0,,0,100
Compra,2025-11-22,ETHUSD,0.00545161,15,,2751.48,0.15,0,15.15
Compra,2025-11-22,BTCUSD,0.00029549,25,,84605.23,0.25,0,25.25
Compra,2025-11-26,EEM,0.51803,28,,54.04,0.15,,28.15
Compra,2025-11-26,VEU,0.27605,20,,72.45,0.15,,20.15
Compra,2025-11-26,ACWI,0.07939,11.15,,140.43,0.15,,11.3
Depósito,2025-12-19,,,100,,,,,100
Dividendo,2025-12-22,ACWI,,1.51,,,-0.45,,1.06
Dividendo,2025-12-22,EEM,,1.56,,,-0.47,,1.09
Dividendo,2025-12-24,VEU,,2.27,,,-0.68,,1.59
Compra,2026-01-02,ACWI,0.17603,25,,142.01,0.15,,25.15
Compra,2026-01-02,VEU,0.26872,20,,74.42,0.15,,20.15
Compra,2026-01-02,EEM,0.17863,10,,55.97,0.15,,10.15
Compra,2026-01-02,NVDA,0.10542,20,,189.71,0.15,,20.15
Compra,2026-01-02,GLD,0.0251,10,,398.26,0.15,,10.15
Depósito,2026-01-21,,,100,,,,,100
Compra,2026-01-21,ACWI,0.174,25,,143.41,0.15,,25.15
Compra,2026-01-21,EEM,0.25782,15,,58.17,0.15,,15.15
Compra,2026-01-21,VEU,0.19639,15,,76.37,0.15,,15.15
Compra,2026-01-21,NU,0.5724,10,,17.47,0.15,,10.15
Compra,2026-01-21,NVDA,0.0833,15,,180.06,0.15,,15.15
Compra,2026-02-09,BTCUSD,0.00043405,30,,69116.46,0.3,,30.3
Depósito,2026-03-09,USD,,75,297419,,,,75
Compra,2026-03-09,ACWI,0.14171,20,,141.13,0.15,,20.15
Compra,2026-03-09,NVDA,0.08339,15,,179.87,0.15,,15.15
Compra,2026-03-16,BTCUSD,0.00034097,25,,73320,0.25,,25.25
Compra,2026-03-16,ETHUSD,0.00440605,10,,2269,0.1,,10.1
Compra,2026-03-16,ACWI,0.07881,11.14,,141.43,0.15,,11.29
Dividendo,2026-03-25,VEU,,0.26,,,0.08,,0.18
Dividendo,2026-04-02,NVDA,,0.01,,,0,,0.01
Depósito,2026-04-28,,,104.9,,,,,104.9
Compra,2026-04-28,ACWI,0.40186,60,,149.3,0.15,,60.15
Compra,2026-04-28,NVDA,0.09296,19.54,,210.19,0.15,,19.69
Compra,2026-04-28,BTCUSD,0.00032934,25,,75909.39,0.25,,25.25
Depósito,2026-05-27,,,100,,,,,100
Compra,2026-06-01,ACWI,0.37824,60,,158.62,0.15,,60.15
Compra,2026-06-01,BTCUSD,0.00035278,25,,70865.69,0.25,,25.25
Compra,2026-06-01,NVDA,0.06688,14.85,,222.02,0.15,,15
Depósito,2026-06-20,,,100,,,,,100
Depósito,2026-06-20,,,200,,,,,200
Compra,2026-06-22,ACWI,1.52,240,,157.85,0.15,,240.15
Compra,2026-06-22,EEM,0.87081,62,,71.19,0.15,,62.15
Dividendo,2026-06-22,EEM,,0.87,,,0.26,,0.61
Dividendo,2026-06-22,ACWI,,2.6,,,0.78,,1.82
Dividendo,2026-06-24,VEU,,0.89,,,0.27,,0.62
Dividendo,2026-06-29,NVDA,,0.21,,,0.06,,0.15
